17/08/2021 11:30:41 3.63  103.17 40.65 100.91 0.22

17/08/2021 11:30:45 3.00  103.17 40.74 100.82 0.22

17/08/2021 11:30:49 3.59  103.17 40.74 100.91 0.22

17/08/2021 11:30:53 2.92  103.17 40.71 100.91 0.22

17/08/2021 11:30:57 3.59  103.17 40.74 100.91 0.22

17/08/2021 11:31:01 3.61  103.17 40.71 100.87 0.22

17/08/2021 11:31:05 2.87  103.21 40.74 100.91 0.22

17/08/2021 11:31:09 3.59  103.17 40.74 100.91 0.22

17/08/2021 11:31:13 2.93  103.17 40.74 100.91 0.22

17/08/2021 11:31:17 3.58  103.17 40.71 100.91 0.22

17/08/2021 11:31:21 3.60  103.12 40.68 100.91 0.22

17/08/2021 11:31:25 2.98  103.17 40.74 100.87 0.22

17/08/2021 11:31:29 3.58  103.21 40.71 100.91 0.22

17/08/2021 11:31:33 2.94  103.12 40.74 100.87 0.22

17/08/2021 11:31:37 3.61  103.17 40.74 100.87 0.22

17/08/2021 11:31:41 3.58  103.07 40.74 100.87 0.22

17/08/2021 11:31:46 2.92  103.17 40.80 100.91 0.22

17/08/2021 11:31:50 3.57  103.17 40.74 100.82 0.22

17/08/2021 11:31:54 2.98  103.07 40.80 100.77 0.22

17/08/2021 11:31:58 3.57  103.12 40.77 100.87 0.22

17/08/2021 11:32:02 3.58  103.12 40.77 100.91 0.22

17/08/2021 11:32:06 2.66  103.17 40.89 100.87 0.22

17/08/2021 11:32:10 3.58  103.17 40.86 100.91 0.22

17/08/2021 11:32:14 3.55  103.12 40.98 100.91 0.22

17/08/2021 11:32:18 3.15  103.17 41.01 100.87 0.22

17/08/2021 11:32:22 3.55  103.17 41.01 100.82 0.22

17/08/2021 11:32:26 2.70  103.07 41.04 100.87 0.22

17/08/2021 11:32:30 3.55  103.12 41.04 100.91 0.22

17/08/2021 11:32:34 3.54  103.07 41.04 100.82 0.22

17/08/2021 11:32:38 3.15  103.12 41.04 100.87 0.22

17/08/2021 11:32:42 3.54  103.12 41.07 100.87 0.22

